PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,OutLinkNum2,OutLinkProp2,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,InLinkNum2,InLinkProp2
7032745,Actor,0,0.0,14,0.00334928229665,1616,0.00207889242375,0,0.0,3,0.00104420466411,804,0.00157652004769
5405102,Actor,0,0.0,47,0.0044152184124,2909,0.00165905482352,1,0.04,55,0.0219036240542,3379,0.00737318943358
556588,Actor,1,0.0188679245283,237,0.0329258127258,6572,0.00748845169538,1,0.0140845070423,271,0.029741000878,9942,0.00861169916048
7646712,Actor,0,0.0,4,0.00204290091931,316,0.000665922070259,0,0.0,1,0.00746268656716,0,0.0
432147,Actor,15,0.0842696629213,716,0.0267243953419,16318,0.00494035725098,12,0.0558139534884,698,0.00747475396494,18063,0.00266015924432
9313763,Actor,0,0.0,55,0.012176223157,2753,0.0030236565706,0,0.0,55,0.0356448476993,2019,0.00962877472769
9249109,Actor,1,0.0151515151515,148,0.00671750181554,7959,0.00224364160595,0,0.0,13,0.00344462109168,606,0.000863439738745
10680207,Actor,0,0.0,6,0.0115163147793,354,0.00558192339835,0,0.0,2,0.00787401574803,531,0.0130274779195
7783859,Actor,0,0.0,73,0.0141802641803,5272,0.00488905952374,0,0.0,127,0.0546471600688,5102,0.017722292852
935066,Actor,0,0.0,124,0.0107797965748,3735,0.0025116048247,0,0.0,113,0.00590757005437,4378,0.0017535511614
6201170,Actor,13,0.171052631579,797,0.0589889719488,11777,0.00646770568067,14,0.208955223881,679,0.0693352394568,8831,0.00477878567652
9672652,Actor,1,0.0222222222222,173,0.018279797126,6723,0.00394073250849,1,0.0416666666667,101,0.0471082089552,3321,0.0134702122136
8146488,Actor,0,0.0,46,0.0100568430258,2659,0.00453198981453,0,0.0,44,0.0480349344978,2031,0.025818343609
492026,Actor,0,0.0,178,0.00733053290503,8489,0.00260788916425,2,0.0126582278481,354,0.0145517326427,14095,0.00336551927013
3160609,Actor,0,0.0,74,0.0121251843356,2724,0.00252767779346,0,0.0,111,0.0425450364124,3809,0.00903321586279
7433878,Actor,0,0.0,75,0.0112393226435,4746,0.00439103732474,0,0.0,29,0.0666666666667,1606,0.0376579829765
1501206,Actor,0,0.0,30,0.00639522489874,4387,0.00486466646485,0,0.0,1335,0.0151528909673,29103,0.00260398142613
1434516,Actor,1,0.0232558139535,169,0.0232590145885,6672,0.00504586045836,1,0.0357142857143,89,0.0255600229753,4390,0.00330131285467
462384,Actor,13,0.0513833992095,1089,0.0199468815826,22864,0.00415259402727,16,0.0300187617261,1126,0.0154844742705,28366,0.0031918004732
8578789,Actor,0,0.0,50,0.00859254167383,4518,0.00472327346478,0,0.0,37,0.0162209557212,2679,0.00618065793208
2905895,Actor,5,0.138888888889,232,0.030663494581,8419,0.00737880925879,1,0.0357142857143,105,0.0516732283465,2786,0.0144755095785
2756344,Actor,2,0.0714285714286,66,0.0104678826328,6085,0.00462826336302,1,0.027027027027,24,0.0121150933872,4361,0.0172105560182
7772286,Actor,1,0.0555555555556,33,0.0128155339806,2394,0.00641924593971,0,0.0,0,0,0,0
23984137,Actor,0,0.0,17,0.00857286938981,1330,0.00401836969001,0,0.0,7,0.0382513661202,191,0.0138065635391
739707,Actor,0,0.0,28,0.004,3288,0.00268865783803,0,0.0,43,0.004415691107,1844,0.00100763100159
970903,Actor,0,0.0,105,0.00772285966461,5810,0.00286828593997,0,0.0,31,0.00389105058366,1320,0.000802210698209
9930882,Actor,1,0.037037037037,118,0.0231463318949,4815,0.0048474097818,1,0.333333333333,47,0.107305936073,2774,0.0311014440757
11701295,Actor,0,0.0,19,0.00552646887725,1359,0.00255407919713,0,0,0,0,0,0
9056283,Actor,8,0.16,525,0.0732728541521,10010,0.012488023474,15,0.214285714286,453,0.04688470296,11119,0.00492944758622
590444,Actor,0,0.0,55,0.00328377813601,4665,0.00163149252713,0,0.0,28,0.00248226950355,3144,0.0012794374382
