PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,OutLinkNum2,OutLinkProp2,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,InLinkNum2,InLinkProp2
15915817,Nonactor,0,0.0,6,1.38066244184e-05,994,0.000140245904403,0,0.0,0,0.0,126,4.96217522858e-05
28157344,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,25,0.000312503906299
20617384,Nonactor,0,0.0,8,0.000264672798253,1647,0.000528890864157,0,0.0,0,0.0,178,0.000190499225696
580551,Nonactor,0,0.0,7,0.000845410628019,702,0.000547668197329,0,0.0,0,0.0,131,0.000358128002056
71676,Nonactor,0,0.0,0,0.0,231,0.000853516599235,0,0.0,0,0.0,32,0.000158079336067
22000311,Nonactor,1,0.0106382978723,49,0.00478095423944,728,0.000854624599101,0,0,0,0,0,0
2415788,Nonactor,0,0.0,3,0.000226928895613,702,0.000353971413027,0,0.0,0,0.0,19,7.60237194005e-05
31845509,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,4,5.64350009876e-05
31981420,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
15032909,Nonactor,0,0.0,0,0.0,175,0.000528536437302,0,0,0,0,0,0
25710675,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
12842089,Nonactor,0,0.0,0,0.0,42,0.000577097474512,0,0.0,0,0,0,0
15026471,Nonactor,0,0.0,0,0.0,240,0.000356702817506,0,0.0,0,0.0,7,4.06001867609e-05
20468749,Nonactor,0,0.0,0,0.0,521,0.000302815779899,0,0.0,0,0.0,162,0.000148057025717
28088445,Nonactor,0,0,0,0,0,0,0,0.0,2,0.000320512820513,154,0.000197595240264
5724108,Nonactor,0,0.0,2,0.000499126528575,428,0.000607867337214,0,0.0,0,0.0,23,0.0001481338357
12108270,Nonactor,0,0.0,2,0.000185030992691,737,0.000651706595854,0,0.0,27,0.000429361999873,8506,0.000883496735913
31845939,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,132,0.000674040258586
15920313,Nonactor,0,0.0,6,1.38066244184e-05,994,0.000140245904403,0,0.0,0,0.0,126,4.96865802068e-05
12918530,Nonactor,0,0.0,1,0.000340831629175,346,0.000549470618409,0,0.0,0,0.0,61,0.00409450933011
4344723,Nonactor,0,0.0,0,0.0,282,0.000367187978109,0,0.0,0,0.0,44,0.000150634376134
1318458,Nonactor,0,0.0,0,0.0,460,0.00044327009989,0,0.0,2,0.000463606861382,70,0.00049518958687
21653151,Nonactor,0,0.0,22,0.00502397807719,801,0.00122308936187,0,0.0,0,0.0,1,6.45536117746e-05
18932011,Nonactor,0,0.0,0,0.0,135,0.000297256651393,0,0.0,0,0.0,698,0.000522481292101
18388177,Nonactor,0,0.0,0,0.0,39,0.000747398478373,0,0.0,0,0.0,215,0.000940606187876
22371425,Nonactor,0,0.0,0,0.0,85,0.000287047730972,0,0.0,0,0.0,0,0.0
1374627,Nonactor,0,0.0,3,0.000213219616205,746,0.000374521117519,0,0.0,1,4.03746770026e-05,400,0.000160792190966
43513,Nonactor,0,0.0,2,0.000349406009783,350,0.000473697602278,0,0.0,15,0.000264863242279,2793,0.000357923704199
30885435,Nonactor,0,0,0,0,0,0,0,0.0,1,5.37258905066e-05,499,0.000188562530018
11717153,Nonactor,0,0.0,2,0.000307172477346,554,0.000374267931251,0,0.0,1,0.000648088139987,280,0.000519985069
6729466,Nonactor,0,0.0,1,5.42446433415e-05,405,0.000249641871784,0,0.0,1,7.56429652042e-05,154,0.000194165209377
4821821,Nonactor,0,0.0,14,0.000695859635171,1481,0.00050852893327,0,0.0,2,0.000264410364886,475,0.000216947579527
27867801,Nonactor,0,0,0,0,0,0,0,0.0,0,0.0,2,3.5282702655e-05
8981538,Nonactor,0,0.0,10,0.000596480763495,889,0.000788238663417,0,0.0,0,0.0,71,0.000277714759562
