id,hits
45188,0.00966705275137
68323,0.0362947778321
74868,0.00435551024309
103026,0.00649115375049
113063,0.0139614687311
144768,0.0113258771808
146190,0.00101737369138
149410,0.000128424862254
161466,0.0183483592762
161920,0.0113853490447
171579,0.00566721207965
182535,0.00558279684195
187094,0.0170374452536
189132,0.00314444658973
201682,0.0049083617867
217809,0.0113690579226
274441,0.00253762034754
276244,0.00549404815353
303225,0.0239581940366
481781,0.00253053271866
523308,0.000463238426447
575345,0.0140461725813
617161,0.000847905703256
641857,0.00380290400773
656549,0.00930702229235
680390,0.0059384726676
690581,0.000726476032793
728775,0.00474432808769
830674,0.00111477698378
841474,0.000525924755231
978583,0.00162982397985
986784,0.000449472306411
995412,0.000779751507022
1071729,0.000529253262902
1097171,0.000599712780288
1124876,0.000515528558391
1141212,0.00179841433792
1293956,0.00151355929307
1352184,0.00122617271843
1396687,0.004652611245
1447948,0.000135571823136
1484075,0.00343680222179
1505002,0.00316159735782
1526047,0
1585014,0.00379391661725
1628549,0.000145398150853
1642005,0
1686995,0.000740250208546
1690426,0.00357546075198
1737030,0
27872814,7.04161435924e-07
15473391,1.14884798283e-06
28388248,0
29551727,0
764646,0.000379946293144
8891086,2.74878562363e-06
13001621,1.14386416808e-06
26396692,0
2970697,0.000264323176369
22092074,1.41940730517e-06
11006538,0
2090898,0
1852333,0.000485168532756
3177412,8.03484957134e-07
19491254,2.90679686347e-06
30249152,0.000117568820276
969816,0
25847533,2.46424532486e-06
2345751,0.000335463776173
4682410,5.8150739423e-05
12399020,0
6144268,1.40375303865e-05
5222411,6.49982445513e-06
12599912,6.56948438067e-07
8098440,0
4851720,0
13494770,3.83152414216e-06
1311010,4.25050670356e-06
14459716,0
4106106,4.10443867269e-06
30663724,2.31688700107e-07
32911934,0
9317586,5.12201145152e-07
9844038,2.79806151254e-06
7214308,1.20225452039e-06
21806647,4.08550878394e-06
25491995,0
9306852,0
24730153,0
1254406,4.67156333209e-06
28653927,8.95215194991e-05
11173748,7.65705996811e-05
11019791,0
8522871,5.80482798426e-05
134102,3.77408923592e-06
1939683,1.77495075021e-06
31310724,0
2058882,0
2702169,9.57119129551e-07
4496192,7.84872493956e-06
