PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,hits
921332,Actor,1,0.0153846153846,846,0.0876774795316,5,0.0735294117647,1169,0.122025052192,0.000335947290555
3376072,Actor,0,0,87,0.016264722378,0,0,51,0.0079575596817,0.0
25148247,Actor,0,0,0,0,0,0,1,0.0204081632653,0.0
27125181,Actor,0,0,0,0,0,0,15,0.0445103857567,0.0
27677222,Actor,0,0,0,0,0,0,0,0,0.0
9870616,Actor,11,0.275,1328,0.141986528387,2,0.1,126,0.0587686567164,8.28526335157e-05
8739056,Actor,42,0.428571428571,2129,0.138426527958,33,0.471428571429,2310,0.203130495955,0.00190511249957
21168507,Actor,0,0,93,0.0125913891145,0,0,0,0,0.0
268009,Actor,42,0.137704918033,5373,0.105903222627,66,0.0941512125535,11377,0.0770997953403,0.00661587499007
13120221,Actor,0,0,65,0.0212557226946,1,0.0625,61,0.0430486944248,1.61743488099e-05
1666335,Actor,2,0.0869565217391,166,0.0335556903174,5,0.138888888889,321,0.0682978723404,0.00024968370251
27690542,Actor,0,0,0,0,0,0,0,0,0
11864800,Actor,0,0,278,0.0506744440394,0,0,203,0.0938945420907,0.0
15057540,Actor,0,0,430,0.0923737916219,0,0,32,0.0666666666667,0.0
12025926,Actor,3,0.0491803278689,302,0.0243117050394,1,0.0833333333333,21,0.0314842578711,5.68248380333e-05
13757431,Actor,1,0.0196078431373,237,0.038517796197,0,0,7,0.0573770491803,0.0
3692830,Actor,0,0,335,0.0530903328051,0,0,102,0.0561674008811,0.0
608982,Actor,5,0.227272727273,219,0.0490591397849,0,0,112,0.00972982364695,0.0
1796361,Actor,12,0.1875,1551,0.160775370582,8,0.0869565217391,2918,0.127323501178,0.000389451830995
16025172,Actor,1,0.04,127,0.0174498488596,1,0.111111111111,242,0.356932153392,4.10700735891e-05
26355189,Actor,0,0,0,0,11,0.161764705882,334,0.081662591687,0.000415276074185
2253264,Actor,8,0.16,533,0.0687741935484,0,0,143,0.0961021505376,0.0
5673322,Actor,5,0.116279069767,1328,0.159481205716,51,0.161392405063,5014,0.163610259088,0.0179888457447
3640817,Actor,2,0.153846153846,263,0.123706491063,0,0,352,0.0631503408683,0.0
582584,Actor,43,0.34126984127,3789,0.171797778282,41,0.170833333333,6379,0.124163033323,0.00442114373077
2620563,Actor,33,0.323529411765,2101,0.136207455429,34,0.19209039548,5196,0.134097243729,0.00267718107916
5652869,Actor,3,0.25,117,0.034564254062,1,0.0666666666667,203,0.173504273504,7.23742055348e-05
6836852,Actor,0,0,35,0.0174302788845,0,0,0,0,0.0
520824,Actor,2,0.0512820512821,463,0.0939338608237,4,0.0540540540541,1110,0.0680313802403,0.000254785964736
8523676,Actor,39,0.582089552239,2077,0.155638816036,34,0.357894736842,1841,0.157809017658,0.00195489842715
689567,Actor,22,0.153846153846,2337,0.101608695652,41,0.138047138047,7314,0.130015109768,0.0038379248395
25947343,Actor,0,0,0,0,0,0,0,0,0.0
